t,phi,delta,deltasim
3.02,-1.3846,-53.357,-57.762
3.03,-0.47747,-49.929,-54.426
3.04,0.42972,-46.286,-50.027
3.05,1.2892,-42.429,-44.565
3.06,2.1008,-38.214,-38.088
3.07,2.8648,-33.571,-30.7
3.08,3.581,-28.357,-22.547
3.09,4.2017,-22.643,-13.812
3.1,4.7269,-16.357,-4.7021
3.11,5.1566,-9.6429,4.5669
3.12,5.4909,-2.6429,13.777
3.13,5.7296,4,22.716
3.14,5.8251,10.786,31.176
3.15,5.8251,17.5,38.968
3.16,5.7773,24.071,45.926
3.17,5.7296,30.357,51.923
3.18,5.6818,36.5,56.885
3.19,5.6341,42.357,60.796
3.2,5.4908,47.786,63.685
3.21,5.2998,52.429,65.612
3.22,5.0134,56.071,66.657
3.23,4.6791,58.429,66.899
3.24,4.2017,59.643,66.407
3.25,3.581,59.643,65.224
3.26,2.9125,58.571,63.357
3.27,2.1963,56.5,60.792
3.28,1.4801,53.571,57.511
3.29,0.76395,50,53.502
3.3,0.047755,45.857,48.773
3.31,-0.66844,41.286,43.356
3.32,-1.2891,36.357,37.308
3.33,-1.8621,31.143,30.718
3.34,-2.3395,25.571,23.71
3.35,-2.7215,19.929,16.439
3.36,-2.9603,14.214,9.0862
3.37,-3.008,9,1.8553
3.38,-2.9125,4.0714,-5.0319
3.39,-2.7215,-0.35714,-11.344
3.4,-2.3873,-4.1429,-16.851
3.41,-1.9576,-7.2857,-21.347
3.42,-1.4801,-9.8571,-24.66
3.43,-0.95492,-11.857,-26.676
3.44,-0.42971,-13.143,-27.347
3.45,0.0955,-13.571,-26.697
3.46,0.57296,-13.286,-24.817
3.47,1.0027,-12.071,-21.856
3.48,1.3369,-10.143,-18.011
3.49,1.5756,-7.6429,-13.519
3.5,1.7189,-4.7857,-8.6396
3.51,1.7666,-1.9286,-3.6423
3.52,1.6711,0.85714,1.2088
3.53,1.4801,3.5,5.6668
3.54,1.1937,5.8571,9.5129
3.55,0.85944,7.8571,12.569
3.56,0.52521,9.4286,14.711
3.57,0.19099,10.429,15.873
3.58,-0.095488,10.857,16.053
3.59,-0.38196,10.643,15.31
3.6,-0.6207,9.9286,13.749
3.61,-0.81168,8.5714,11.517
3.62,-0.90717,6.8571,8.7885
3.63,-0.95492,4.8571,5.7571
3.64,-0.95492,2.9286,2.6185
3.65,-0.95492,1.1429,-0.44132
3.66,-0.90718,-0.57143,-3.2579
