0.93,6,-4.9286,0.325
0.94,6,-3.5714,0.4
0.95,7,-2.2143,0.45833
0.96,7,-0.92857,0.5
0.97,7,0.21429,0.525
0.98,7,1.2143,0.51667
0.99,6,2.0714,0.48333
1,5,2.7143,0.43333
1.01,4,3.1429,0.36667
1.02,2,3.3571,0.28333
1.03,1,3.3571,0.18333
1.04,-1,3.2143,0.066667
1.05,-2,2.8571,-0.058333
1.06,-3,2.2857,-0.16667
1.07,-4,1.5,-0.25833
1.08,-5,0.64286,-0.33333
1.09,-6,-0.14286,-0.39167
1.1,-6,-0.85714,-0.43333
1.11,-6,-1.5,-0.45833
1.12,-6,-2.0714,-0.46667
1.13,-5,-2.5714,-0.45833
1.14,-5,-2.9286,-0.44167
1.15,-4,-3.1429,-0.41667
1.16,-3,-3.2143,-0.38333
1.17,-2,-3.1429,-0.34167
1.18,-1,-2.9286,-0.29167
1.19,0,-2.6429,-0.23333
1.2,1,-2.1429,-0.16667
1.21,2,-1.5,-0.1
1.22,2,-0.85714,-0.033333
1.23,3,-0.21429,0.033333
1.24,3,0.28571,0.1
1.25,3,0.71429,0.16667
1.26,3,1.2143,0.23333
1.27,4,1.7143,0.3
1.28,4,2.1429,0.36667
1.29,4,2.5,0.43333
1.3,5,2.8571,0.5
1.31,5,3.1429,0.56667
1.32,5,3.3571,0.63333
1.33,5,3.6429,0.7
1.34,6,3.9286,0.76667
1.35,7,4.2143,0.825
1.36,7,4.5,0.875
1.37,8,4.8571,0.91667
1.38,9,5.3571,0.95
1.39,10,5.9286,0.975
1.4,10,6.4286,0.99167
1.41,11,6.8571,1
1.42,11,7.2143,1
1.43,11,7.6429,1
1.44,11,8.0714,1
1.45,10,8.4286,1
1.46,10,8.7857,1
1.47,10,9,1
1.48,10,9.1429,1
1.49,9,9.2143,1
1.5,8,9.2857,1
1.51,8,9.2143,0.99167
1.52,7,9.0714,0.975
1.53,7,8.8571,0.95
1.54,6,8.6429,0.91667
1.55,5,8.5,0.875
1.56,5,8.4286,0.825
1.57,5,8.2857,0.76667
1.58,5,8.1429,0.7
1.59,5,8.0714,0.63333
1.6,4,8,0.56667
1.61,4,8,0.49167
1.62,3,8,0.40833
1.63,2,8,0.31667
1.64,2,7.9286,0.21667
1.65,1,7.8571,0.10833
1.66,0,7.6429,0
1.67,-1,7.3571,-0.10833
1.68,-2,6.9286,-0.21667
1.69,-3,6.3571,-0.31667
1.7,-4,5.7143,-0.40833
1.71,-5,4.9286,-0.49167
1.72,-6,4,-0.56667
1.73,-7,2.9286,-0.63333
1.74,-9,1.7857,-0.69167
1.75,-10,0.5,-0.74167
1.76,-10,-0.78571,-0.775
1.77,-11,-2.0714,-0.79167
1.78,-10,-3.2857,-0.79167
1.79,-10,-4.4286,-0.775
1.8,-9,-5.4286,-0.74167
1.81,-8,-6.2143,-0.69167
1.82,-7,-6.7857,-0.63333
1.83,-5,-7.1429,-0.56667
1.84,-3,-7.3571,-0.5
