t,y
3.7884,0.015477
3.7933,0.015437
3.7981,0.015398
3.803,0.015361
3.8079,0.015326
3.8128,0.015293
3.8176,0.015263
3.8225,0.015237
3.8274,0.015215
3.8323,0.015197
3.8372,0.015183
3.842,0.015174
3.8469,0.01517
3.8518,0.015171
3.8567,0.015177
3.8615,0.015188
3.8664,0.015204
3.8713,0.015225
3.8762,0.015251
3.881,0.015281
3.8859,0.015314
3.8908,0.015352
3.8957,0.015393
3.9005,0.015437
3.9054,0.015483
3.9103,0.015532
3.9152,0.015582
3.92,0.015632
3.9249,0.015684
3.9298,0.015735
3.9347,0.015786
3.9395,0.015835
3.9444,0.015883
3.9493,0.015929
3.9542,0.015973
3.959,0.016013
3.9639,0.016051
3.9688,0.016085
3.9737,0.016115
3.9785,0.01614
3.9834,0.016162
3.9883,0.016179
3.9932,0.016192
3.998,0.016201
4.0029,0.016205
4.0078,0.016204
4.0127,0.0162
4.0176,0.016192
4.0224,0.016179
4.0273,0.016164
4.0322,0.016145
4.0371,0.016123
4.0419,0.016099
4.0468,0.016073
4.0517,0.016046
4.0566,0.016017
4.0614,0.015988
4.0663,0.015959
4.0712,0.01593
4.0761,0.015901
4.0809,0.015874
4.0858,0.015849
4.0907,0.015825
4.0956,0.015804
4.1004,0.015785
4.1053,0.01577
4.1102,0.015757
4.1151,0.015749
4.1199,0.015744
4.1248,0.015742
4.1297,0.015745
4.1346,0.015752
4.1394,0.015762
4.1443,0.015777
4.1492,0.015795
4.1541,0.015817
4.1589,0.015842
4.1638,0.01587
4.1687,0.015902
4.1736,0.015936
4.1784,0.015972
4.1833,0.01601
4.1882,0.01605
4.1931,0.016091
4.198,0.016133
4.2028,0.016175
4.2077,0.016217
4.2126,0.016259
4.2175,0.0163
4.2223,0.01634
4.2272,0.016378
4.2321,0.016414
4.237,0.016448
4.2418,0.016479
4.2467,0.016508
4.2516,0.016534
4.2565,0.016556
4.2613,0.016575
4.2662,0.016591
4.2711,0.016604
4.276,0.016613
4.2808,0.016618
4.2857,0.01662
4.2906,0.016619
4.2955,0.016614
4.3003,0.016607
4.3052,0.016597
4.3101,0.016585
4.315,0.01657
4.3198,0.016554
4.3247,0.016536
4.3296,0.016516
4.3345,0.016496
4.3393,0.016475
4.3442,0.016455
4.3491,0.016434
4.354,0.016414
4.3588,0.016395
4.3637,0.016377
4.3686,0.01636
4.3735,0.016346
4.3784,0.016333
4.3832,0.016323
4.3881,0.016316
4.393,0.016311
4.3979,0.016309
4.4027,0.01631
4.4076,0.016314
4.4125,0.016321
4.4174,0.016331
4.4222,0.016345
4.4271,0.016361
4.432,0.01638
4.4369,0.016402
4.4417,0.016426
4.4466,0.016452
4.4515,0.016481
4.4564,0.016512
4.4612,0.016544
4.4661,0.016577
4.471,0.016611
4.4759,0.016646
4.4807,0.016681
4.4856,0.016716
4.4905,0.016751
4.4954,0.016785
4.5002,0.016818
4.5051,0.01685
4.51,0.016881
4.5149,0.01691
4.5197,0.016937
4.5246,0.016961
4.5295,0.016984
4.5344,0.017004
