t	v	delta	phi	u
541	60	-696	-69	-945
542	60	-706	-68	-928
543	60	-717	-68	-989
544	60	-727	-69	-1014
545	60	-738	-70	-1013
546	60	-750	-71	-1008
547	60	-759	-71	-1026
548	60	-766	-71	-1016
549	60	-772	-72	-1040
550	61	-776	-73	-1045
551	61	-784	-73	-1064
552	61	-790	-74	-1062
553	61	-799	-74	-1064
554	61	-811	-75	-1062
555	61	-821	-75	-1056
556	61	-830	-75	-1049
557	61	-835	-74	-1041
558	61	-846	-74	-1034
559	61	-860	-74	-1031
560	61	-869	-73	-1024
561	61	-882	-73	-1019
562	61	-892	-72	-1015
563	61	-903	-73	-1031
564	61	-916	-73	-1049
565	61	-927	-74	-1065
566	61	-937	-74	-1070
567	61	-946	-75	-1073
568	61	-951	-75	-1076
569	61	-954	-76	-1101
570	62	-961	-77	-1119
571	62	-968	-78	-1130
572	62	-977	-79	-1134
573	62	-985	-79	-1131
574	62	-998	-79	-1131
575	62	-1009	-79	-1120
576	62	-1020	-79	-1118
577	62	-1030	-79	-1112
578	62	-1041	-79	-1104
579	62	-1053	-78	-1096
580	62	-1064	-78	-1096
581	62	-1073	-78	-1091
582	62	-1085	-77	-1086
583	62	-1094	-77	-1095
584	62	-1098	-77	-1088
585	62	-1102	-77	-1092
586	62	-1102	-77	-1094
587	62	-1100	-77	-1098
588	62	-1099	-77	-1095
589	62	-1097	-77	-1097
590	62	-1096	-78	-1104
591	62	-1096	-78	-1101
592	62	-1096	-78	-1102
593	62	-1097	-78	-1108
594	62	-1099	-78	-1108
595	62	-1101	-78	-1111
596	62	-1103	-78	-1112
597	62	-1105	-78	-1112
598	62	-1106	-79	-1115
599	62	-1106	-79	-1115
600	62	-1107	-79	-1116
601	62	-1108	-79	-1116
602	62	-1108	-79	-1118
603	62	-1110	-79	-1118
604	62	-1110	-79	-1119
605	62	-1110	-79	-1118
606	62	-1111	-79	-1120
607	62	-1111	-79	-1120
608	62	-1111	-79	-1119
609	62	-1111	-79	-1119
610	64	-1111	-79	-1120
611	64	-1111	-79	-1118
612	64	-1111	-79	-1120
613	64	-1111	-79	-1118
614	64	-1111	-79	-1118
615	64	-1111	-79	-1119
616	64	-1111	-79	-1118
617	64	-1111	-79	-1118
618	64	-1111	-79	-1119
619	64	-1111	-79	-1118
